USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24005492401	1602912	9405	0.619	0.004	39.3891677	-76.8180581                                                                                                                                          
MD	24005492402	3194082	9333	1.233	0.004	39.4002015	-76.8111621                                                                                                                                          
MD	24005492500	2638986	5681	1.019	0.002	39.2572864	-76.7118671                                                                                                                                          
MD	24005492600	4325241	0	1.67	0.	39.4110303	-76.5318285                                                                                                                                                 
MD	24005980000	12380090	14838804	4.78	5.729	39.218668	-76.4814625                                                                                                                                       
MD	24005980100	1523785	223995	0.588	0.086	39.2358448	-76.6282835                                                                                                                                        
MD	24005980200	2100509	248474	0.811	0.096	39.2276652	-76.6816917                                                                                                                                        
MD	24009860101	18848705	2079220	7.278	0.803	38.7279273	-76.6765546                                                                                                                                      
MD	24009860102	17706194	59343	6.836	0.023	38.7341826	-76.6373837                                                                                                                                        
MD	24009860200	46452681	1604885	17.935	0.62	38.6758822	-76.6579871                                                                                                                                      
MD	24009860300	38452497	601558	14.847	0.232	38.6629523	-76.5793902                                                                                                                                      
MD	24009860401	17529242	1805999	6.768	0.697	38.700186	-76.5535038                                                                                                                                       
MD	24009860402	10651400	3318244	4.113	1.281	38.6715579	-76.546634                                                                                                                                       
MD	24009860501	38986287	108084	15.053	0.042	38.6032395	-76.56198                                                                                                                                        
MD	24009860502	19645734	5504755	7.585	2.125	38.579279	-76.5203131                                                                                                                                       
MD	24009860600	54746501	4638019	21.138	1.791	38.6160327	-76.6355421                                                                                                                                     
MD	24009860701	32466765	5477678	12.535	2.115	38.5439619	-76.6309766                                                                                                                                     
MD	24009860702	24423667	85055	9.43	0.033	38.5706399	-76.5778835                                                                                                                                         
MD	24009860703	39006142	12797708	15.06	4.941	38.48333	-76.6074603                                                                                                                                       
MD	24009860801	79243445	21650869	30.596	8.359	38.4464607	-76.53816                                                                                                                                      
MD	24009860802	31290436	4702682	12.081	1.816	38.4958631	-76.5071201                                                                                                                                     
MD	24009860900	40211341	14669344	15.526	5.664	38.3707631	-76.4614087                                                                                                                                    
MD	24009861001	24142636	6001646	9.322	2.317	38.4009537	-76.4260584                                                                                                                                      
MD	24009861003	10850873	5949442	4.19	2.297	38.3394149	-76.427426                                                                                                                                        
MD	24009861004	7523763	2118934	2.905	0.818	38.3627786	-76.4129593                                                                                                                                       
MD	24009990100	0	248387420	0.	95.903	38.5209293	-76.4434693                                                                                                                                             
MD	24011955000	92966368	244187	35.895	0.094	39.0870411	-75.8066003                                                                                                                                      
MD	24011955100	131470959	587733	50.761	0.227	38.984729	-75.8033534                                                                                                                                      
MD	24011955201	71100274	439771	27.452	0.17	38.9594362	-75.8780242                                                                                                                                       
MD	24011955202	95535167	2926023	36.886	1.13	38.8886841	-75.9036435                                                                                                                                      
MD	24011955301	109651829	2236602	42.337	0.864	38.8624326	-75.7768105                                                                                                                                    
MD	24011955302	6867935	923619	2.652	0.357	38.8740492	-75.8294365                                                                                                                                        
MD	24011955400	116541979	1916294	44.997	0.74	38.7828091	-75.830561                                                                                                                                      
MD	24011955500	114534746	7073598	44.222	2.731	38.7407065	-75.9326698                                                                                                                                    
MD	24011955600	88680994	429237	34.24	0.166	38.7068793	-75.7661753                                                                                                                                       
MD	24013501001	20776667	40596	8.022	0.016	39.6754541	-77.136443                                                                                                                                         
MD	24013501002	79944038	287374	30.867	0.111	39.6706869	-77.189024                                                                                                                                       
MD	24013502000	84281650	303527	32.541	0.117	39.6134575	-77.0987391                                                                                                                                      
MD	24013503000	102227381	327679	39.47	0.127	39.6804334	-77.0358316                                                                                                                                      
MD	24013504100	37225188	318022	14.373	0.123	39.5322347	-76.8964892                                                                                                                                      
MD	24013504201	36824563	1387978	14.218	0.536	39.5041048	-76.9081305                                                                                                                                     
MD	24013504202	44563965	599271	17.206	0.231	39.4793778	-76.9523688                                                                                                                                      
MD	24013505101	9007895	404176	3.478	0.156	39.4278876	-76.9469027                                                                                                                                        
MD	24013505102	20829798	3980561	8.042	1.537	39.414976	-76.8994209                                                                                                                                       
MD	24013505203	7059159	14506	2.726	0.006	39.3869549	-76.9498085                                                                                                                                         
MD	24013505205	2620299	4516	1.012	0.002	39.3844793	-76.9327976                                                                                                                                          
MD	24013505206	21013886	2452660	8.114	0.947	39.3736054	-76.9187527                                                                                                                                      
MD	24013505207	4111964	164240	1.588	0.063	39.3937299	-76.9673047                                                                                                                                        
MD	24013505208	5560237	94304	2.147	0.036	39.3747694	-76.9768098                                                                                                                                         
MD	24013506101	46112108	74659	17.804	0.029	39.6880285	-76.9334285                                                                                                                                       
MD	24013506102	27728863	53633	10.706	0.021	39.6271134	-76.9220029                                                                                                                                       
MD	24013506200	61510591	130409	23.749	0.05	39.6921647	-76.8476447                                                                                                                                       
MD	24013507500	25565690	101311	9.871	0.039	39.6202712	-77.0304991                                                                                                                                       
MD	24013507601	24329215	187365	9.394	0.072	39.612989	-76.9799846                                                                                                                                        
MD	24013507602	14802579	11432	5.715	0.004	39.5745502	-76.9657741                                                                                                                                        
MD	24013507702	13805167	64725	5.33	0.025	39.5515591	-77.0263815                                                                                                                                         
MD	24013507703	7510284	18298	2.9	0.007	39.5710345	-77.0351886                                                                                                                                           
MD	24013507704	5894916	12851	2.276	0.005	39.5871137	-77.0311775                                                                                                                                         
MD	24013507801	6273603	22734	2.422	0.009	39.5555941	-77.0019483                                                                                                                                         
MD	24013507802	21494218	25167	8.299	0.01	39.5290769	-77.0032521                                                                                                                                         
MD	24013508101	20879586	49466	8.062	0.019	39.6340147	-76.8340409                                                                                                                                        
MD	24013508102	2469967	6112	0.954	0.002	39.5929461	-76.8388319                                                                                                                                          
MD	24013508200	57070311	252179	22.035	0.097	39.5843486	-76.8784444                                                                                                                                      
MD	24013509001	43795366	62352	16.909	0.024	39.47039	-77.0648802                                                                                                                                         
MD	24013509002	25513685	29206	9.851	0.011	39.4388686	-77.0948506                                                                                                                                        
MD	24013510000	56579559	150286	21.845	0.058	39.6289823	-77.2397116                                                                                                                                      
MD	24013511000	62927096	250389	24.296	0.097	39.5356608	-77.0867426                                                                                                                                      
MD	24013512000	18638013	51750	7.196	0.02	39.5720203	-77.1714955                                                                                                                                         
MD	24013513001	10899628	45618	4.208	0.018	39.399685	-77.140079                                                                                                                                          
MD	24013513002	30989178	94388	11.965	0.036	39.3845572	-77.1149795                                                                                                                                       
MD	24013514100	31715217	58767	12.245	0.023	39.4453298	-76.9943458                                                                                                                                       
MD	24013514201	46650312	139511	18.012	0.054	39.3985392	-77.0495945                                                                                                                                      
MD	24013514202	20077380	914136	7.752	0.353	39.3901546	-76.9921556                                                                                                                                       
MD	24015030100	176342761	49684026	68.086	19.183	39.421865	-75.9026232                                                                                                                                   
MD	24015030200	109858602	18172106	42.417	7.016	39.5039503	-75.8215796                                                                                                                                   
MD	24015030400	4840558	63878	1.869	0.025	39.6081745	-75.8372909                                                                                                                                         
MD	24015030501	29247912	248408	11.293	0.096	39.6585504	-75.8806095                                                                                                                                      
MD	24015030503	41979711	1866515	16.208	0.721	39.6210604	-75.8565829                                                                                                                                     
MD	24015030505	17661086	1250633	6.819	0.483	39.5911982	-75.8114231                                                                                                                                      
MD	24015030506	10728547	61897	4.142	0.024	39.6204111	-75.8091775                                                                                                                                        
MD	24015030601	52360586	328473	20.217	0.127	39.6972837	-75.8760343                                                                                                                                      
MD	24015030602	17740144	90197	6.85	0.035	39.6921633	-75.8050262                                                                                                                                         
MD	24015030700	60872570	307721	23.503	0.119	39.6847436	-75.9770277                                                                                                                                      
MD	24015030903	28330063	279113	10.938	0.108	39.5954416	-75.9003179                                                                                                                                      
MD	24015030904	69792976	68321215	26.947	26.379	39.5117106	-75.9618974                                                                                                                                   
MD	24015030905	32769391	374692	12.652	0.145	39.6334469	-75.9990085                                                                                                                                      
MD	24015030906	53591430	23150913	20.692	8.939	39.5841206	-75.9968041                                                                                                                                    
MD	24015031201	47869690	6223000	18.483	2.403	39.6206753	-76.1069022                                                                                                                                     
MD	24015031202	22788640	7711311	8.799	2.977	39.5699941	-76.0569606                                                                                                                                      
MD	24015031301	32942283	158882	12.719	0.061	39.6612743	-76.0700549                                                                                                                                      
MD	24015031302	45600296	318351	17.606	0.123	39.6973752	-76.0790146                                                                                                                                      
MD	24015031400	41540205	6724905	16.039	2.597	39.6933253	-76.1659592                                                                                                                                     
MD	24017850101	25169900	3717652	9.718	1.435	38.6619481	-77.0984582                                                                                                                                      
MD	24017850102	44586516	1435499	17.215	0.554	38.5951452	-77.0938263                                                                                                                                     
MD	24017850201	16064350	10870381	6.202	4.197	38.564193	-77.207069                                                                                                                                       
MD	24017850202	5762005	1762245	2.225	0.68	38.6004992	-77.1451872                                                                                                                                        
MD	24017850300	34111874	3466193	13.171	1.338	38.5530041	-77.1569782                                                                                                                                     
MD	24017850400	176976091	26002947	68.331	10.04	38.4504408	-77.2060697                                                                                                                                   
MD	24017850500	98191812	15974388	37.912	6.168	38.4724635	-77.0902045                                                                                                                                    
MD	24017850600	60285345	17307	23.276	0.007	38.5274558	-77.1366211                                                                                                                                       
MD	24017850706	6987466	0	2.698	0.	38.6412926	-76.9455906                                                                                                                                                
MD	24017850708	6043598	55120	2.333	0.021	38.6477177	-76.9353838                                                                                                                                         
MD	24017850709	5301129	1042	2.047	0.	38.644537	-76.9006667                                                                                                                                              
MD	24017850710	3636109	48460	1.404	0.019	38.625924	-76.9566583                                                                                                                                          
MD	24017850711	2985839	34092	1.153	0.013	38.6269699	-76.9384389                                                                                                                                         
MD	24017850712	28432513	0	10.978	0.	38.5983635	-77.0369331                                                                                                                                              
MD	24017850713	25936619	13276	10.014	0.005	38.6285179	-76.9891021                                                                                                                                       
MD	24017850801	4230447	9931	1.633	0.004	38.6500734	-76.8593942                                                                                                                                          
MD	24017850802	38967489	231698	15.045	0.089	38.6195583	-76.8560416                                                                                                                                      
MD	24017850901	5434158	55485	2.098	0.021	38.6119074	-76.909122                                                                                                                                          
MD	24017850902	5880228	0	2.27	0.	38.5952613	-76.9253449                                                                                                                                                 
MD	24017850904	41089022	730491	15.865	0.282	38.5547766	-76.8970548                                                                                                                                      
MD	24017850905	2230230	25131	0.861	0.01	38.6020694	-76.885086                                                                                                                                           
MD	24017850906	2213090	12355	0.854	0.005	38.5985749	-76.8969636                                                                                                                                         
MD	24017851001	17069765	22848	6.591	0.009	38.5327464	-77.0000423                                                                                                                                        
MD	24017851002	42640087	225583	16.463	0.087	38.5365602	-76.9550616                                                                                                                                      
MD	24017851100	71655688	7178664	27.666	2.772	38.4578134	-76.9751184                                                                                                                                     
MD	24017851200	107406896	37116180	41.47	14.331	38.3348487	-76.909535                                                                                                                                    
MD	24017851301	111293634	3947883	42.971	1.524	38.4480974	-76.8729416                                                                                                                                    
MD	24017851302	71456562	567588	27.59	0.219	38.5203192	-76.8591522                                                                                                                                       
MD	24017851400	110642171	4556944	42.719	1.759	38.5635132	-76.764197                                                                                                                                     
MD	24017851500	12976279	126596	5.01	0.049	38.5996591	-76.9498047                                                                                                                                        
MD	24017990000	0	361333673	0.	139.512	38.3759374	-77.0841853                                                                                                                                            
MD	24019970100	240946891	8562033	93.03	3.306	38.5600597	-75.7977605                                                                                                                                     
MD	24019970200	120458449	5123971	46.509	1.978	38.6455822	-75.8698959                                                                                                                                    
MD	24019970300	122421069	11797070	47.267	4.555	38.5679194	-75.9440334                                                                                                                                   
MD	24019970400	4720204	6154657	1.822	2.376	38.5704725	-76.0650817                                                                                                                                       
MD	24019970500	2984021	0	1.152	0.	38.5718366	-76.0923067                                                                                                                                                
MD	24019970600	21684132	19325	8.372	0.007	38.5577702	-76.0969661                                                                                                                                        
MD	24019970702	111715644	67803270	43.134	26.179	38.5767742	-76.1841561                                                                                                                                  
MD	24019970804	227436847	102830764	87.814	39.703	38.4426483	-76.216291                                                                                                                                  
MD	24019970900	548174767	343599883	211.651	132.665	38.3445398	-76.0240614                                                                                                                               
MD	24019990000	0	599493794	0.	231.466	38.360807	-76.2552155                                                                                                                                             
MD	24021740200	16732937	11730	6.461	0.005	39.4923785	-77.3629588                                                                                                                                        
MD	24021750100	353835	0	0.137	0.	39.4209637	-77.4094196                                                                                                                                                 
MD	24021750200	626600	0	0.242	0.	39.4157201	-77.4090142                                                                                                                                                 
MD	24021750300	390188	0	0.151	0.	39.4109491	-77.4158113                                                                                                                                                 
MD	24021750503	2340999	5494	0.904	0.002	39.4267393	-77.462331                                                                                                                                           
MD	24021750504	2463518	465	0.951	0.	39.4246793	-77.4394695                                                                                                                                              
MD	24021750505	2012692	0	0.777	0.	39.411086	-77.443393                                                                                                                                                  
MD	24021750506	4809720	3026	1.857	0.001	39.4140482	-77.4637236                                                                                                                                          
MD	24021750600	2121844	0	0.819	0.	39.4195036	-77.422844                                                                                                                                                 
MD	24021750701	3432935	0	1.325	0.	39.4551318	-77.4078221                                                                                                                                                
MD	24021750702	1450362	0	0.56	0.	39.4326934	-77.4203868                                                                                                                                                 
MD	24021750801	2138850	0	0.826	0.	39.4324126	-77.4071631                                                                                                                                                
MD	24021750802	3924851	142137	1.515	0.055	39.455722	-77.3880023                                                                                                                                         
MD	24021750803	5255359	280258	2.029	0.108	39.4350777	-77.3888403                                                                                                                                        
MD	24021751001	990844	0	0.383	0.	39.3798137	-77.4408029                                                                                                                                                 
MD	24021751002	2373564	0	0.916	0.	39.3834988	-77.4300561                                                                                                                                                
MD	24021751003	14194042	33281	5.48	0.013	39.3871801	-77.396194                                                                                                                                          
MD	24021751004	13961593	8734	5.391	0.003	39.3961113	-77.4700084                                                                                                                                         
MD	24021751201	8138244	0	3.142	0.	39.4521258	-77.4266412                                                                                                                                                
MD	24021751202	4189999	16605	1.618	0.006	39.4525118	-77.446358                                                                                                                                          
MD	24021751203	15345123	7269	5.925	0.003	39.4461141	-77.4725942                                                                                                                                         
MD	24021751301	46001080	295269	17.761	0.114	39.5006996	-77.4670894                                                                                                                                      
MD	24021751302	87348232	1150702	33.725	0.444	39.5401046	-77.4349795                                                                                                                                     
MD	24021751600	89793955	91312	34.67	0.035	39.5383021	-77.2206287                                                                                                                                        
MD	24021751701	38326967	205644	14.798	0.079	39.457718	-77.3239141                                                                                                                                       
MD	24021751702	81355629	91272	31.412	0.035	39.4723055	-77.2091951                                                                                                                                       
MD	24021751801	27128093	42428	10.474	0.016	39.4103037	-77.268909                                                                                                                                        
MD	24021751802	65261835	101702	25.198	0.039	39.4201331	-77.1883485                                                                                                                                      
MD	24021751901	9430081	249681	3.641	0.096	39.4012449	-77.2967756                                                                                                                                        
MD	24021751902	7577234	188520	2.926	0.073	39.4045528	-77.3398914                                                                                                                                        
MD	24021751903	31727675	62926	12.25	0.024	39.360791	-77.2391451                                                                                                                                         
MD	24021751904	22459265	257044	8.672	0.099	39.3781197	-77.3459482                                                                                                                                       
MD	24021752001	13401359	14729	5.174	0.006	39.3816577	-77.1772797                                                                                                                                        
MD	24021752101	10755612	9263	4.153	0.004	39.310363	-77.2843773                                                                                                                                          
MD	24021752102	42857451	30898	16.547	0.012	39.33305	-77.2867811                                                                                                                                         
MD	24021752201	75562697	1550622	29.175	0.599	39.2908367	-77.3971148                                                                                                                                     
MD	24021752202	1525619	0	0.589	0.	39.3365151	-77.3425194                                                                                                                                                
MD	24021752204	26851523	212156	10.367	0.082	39.3458949	-77.354999                                                                                                                                       
MD	24021752301	4766131	0	1.84	0.	39.3659448	-77.4308462                                                                                                                                                 
MD	24021752302	67313122	1204360	25.99	0.465	39.3037786	-77.4542163                                                                                                                                      
MD	24021752303	42563993	2160476	16.434	0.834	39.3099211	-77.4977232                                                                                                                                     
MD	24021752501	79373278	427609	30.646	0.165	39.3995827	-77.586872                                                                                                                                       
MD	24021752502	45040785	1513348	17.39	0.584	39.3247563	-77.5454082                                                                                                                                      
MD	24021752601	11453038	42980	4.422	0.017	39.4535196	-77.5262445                                                                                                                                        
MD	24021752602	23699216	107829	9.15	0.042	39.4106761	-77.5184053                                                                                                                                        
MD	24021752603	8988219	39964	3.47	0.015	39.4427461	-77.5105935                                                                                                                                          
MD	24021752801	55214713	135895	21.319	0.052	39.581761	-77.5145164                                                                                                                                       
MD	24021752802	57342670	56696	22.14	0.022	39.5384807	-77.5802262                                                                                                                                        
MD	24021752900	124350576	353461	48.012	0.136	39.642721	-77.4410705                                                                                                                                      
MD	24021753001	15580827	48579	6.016	0.019	39.6040079	-77.4043582                                                                                                                                        
MD	24021753002	10316712	82341	3.983	0.032	39.6336537	-77.3861778                                                                                                                                        
MD	24021765100	3360230	0	1.297	0.	39.4049367	-77.4251648                                                                                                                                                
MD	24021766800	41749039	263693	16.119	0.102	39.6979835	-77.344928                                                                                                                                       
MD	24021767500	120042685	1429746	46.349	0.552	39.6455539	-77.3204795                                                                                                                                    
MD	24021767600	71135991	155725	27.466	0.06	39.5459235	-77.3112605                                                                                                                                       
MD	24021770700	65592471	405829	25.325	0.157	39.475432	-77.548239                                                                                                                                        
MD	24021772200	8950527	307026	3.456	0.119	39.4123678	-77.3838083                                                                                                                                        
MD	24021773500	9310598	0	3.595	0.	39.4686513	-77.3453777                                                                                                                                                
MD	24021775302	41293126	2230283	15.943	0.861	39.3408448	-77.623296                                                                                                                                      
MD	24021775400	4974759	1401110	1.921	0.541	39.3128584	-77.6088148                                                                                                                                       
MD	24021775600	13528881	612216	5.224	0.236	39.4259986	-77.3351341                                                                                                                                       
MD	24023000100	272890739	2682974	105.364	1.036	39.640318	-79.3770543                                                                                                                                    
MD	24023000200	207973938	145458	80.299	0.056	39.6530695	-79.1996475                                                                                                                                     
MD	24023000300	326802298	1421234	126.179	0.549	39.620948	-79.0544096                                                                                                                                    
MD	24023000400	264684193	2250592	102.195	0.869	39.4331613	-79.1901202                                                                                                                                   
MD	24023000500	179171074	14660416	69.178	5.66	39.5259697	-79.2978349                                                                                                                                    
MD	24023000600	216143077	481147	83.453	0.186	39.4460403	-79.4357541                                                                                                                                     
MD	24023000700	213610897	682830	82.476	0.264	39.3127447	-79.4139051                                                                                                                                     
MD	24025301102	23833781	97379	9.202	0.038	39.5010449	-76.268346                                                                                                                                         
MD	24025301105	1777722	4383	0.686	0.002	39.4832884	-76.3051023                                                                                                                                          
MD	24025301106	3122754	0	1.206	0.	39.5020942	-76.3170798                                                                                                                                                
MD	24025301107	2695361	8201	1.041	0.003	39.4649276	-76.3049433                                                                                                                                          
MD	24025301108	5062508	5758	1.955	0.002	39.4831324	-76.2913203                                                                                                                                          
MD	24025301201	17652971	172806	6.816	0.067	39.4566669	-76.3498111                                                                                                                                       
MD	24025301202	5696352	13234	2.199	0.005	39.4831681	-76.3355703                                                                                                                                         
MD	24025301204	2697540	73841	1.042	0.029	39.4665765	-76.3228357                                                                                                                                         
MD	24025301205	1799504	0	0.695	0.	39.4724957	-76.3168461                                                                                                                                                
MD	24025301301	14838669	127756	5.729	0.049	39.4345279	-76.3391472                                                                                                                                       
MD	24025301302	2571084	28652	0.993	0.011	39.4304798	-76.3173293                                                                                                                                         
MD	24025301401	5819624	1509521	2.247	0.583	39.4075954	-76.35705                                                                                                                                         
MD	24025301402	2876235	177759	1.111	0.069	39.4068	-76.3320203                                                                                                                                           
MD	24025301601	5159944	21259	1.992	0.008	39.4184665	-76.3107388                                                                                                                                         
MD	24025301602	6488134	1446416	2.505	0.558	39.4301364	-76.2744669                                                                                                                                       
MD	24025301702	13205261	3296986	5.099	1.273	39.4942107	-76.2260016                                                                                                                                      
MD	24025301703	9826198	35958	3.794	0.014	39.4545628	-76.2801886                                                                                                                                         
MD	24025301704	2548876	132	0.984	0.	39.473609	-76.2506105                                                                                                                                               
MD	24025302100	44467764	2907255	17.169	1.122	39.5936555	-76.1754272                                                                                                                                     
MD	24025302200	28257443	112250	10.91	0.043	39.5576081	-76.1881416                                                                                                                                       
MD	24025302400	21567028	3715503	8.327	1.435	39.4647097	-76.2158395                                                                                                                                      
MD	24025302801	9883461	14017	3.816	0.005	39.5464162	-76.1532231                                                                                                                                         
MD	24025302802	5618063	0	2.169	0.	39.5139778	-76.183278                                                                                                                                                 
